"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"Moški"
" ";"Pomurska"
" ";" ";"0-4 let"
" ";" ";"35-39 let"
" ";" ";" ";"2010";5286
" ";" ";" ";"2011";5344
" ";" ";" ";"2012";5430
" ";" ";" ";"2013";5461
" ";" ";" ";"2014";5576
" ";" ";"40-44 let"
" ";" ";" ";"2010";5717
" ";" ";" ";"2011";5530
" ";" ";" ";"2012";5317
" ";" ";" ";"2013";5254
" ";" ";" ";"2014";5105
" ";" ";"45-49 let"
" ";" ";" ";"2010";5861
" ";" ";" ";"2011";5787
" ";" ";" ";"2012";5763
" ";" ";" ";"2013";5706
" ";" ";" ";"2014";5658
" ";" ";"50-54 let"
" ";" ";" ";"2010";5774
" ";" ";" ";"2011";5666
" ";" ";" ";"2012";5728
" ";" ";" ";"2013";5690
" ";" ";" ";"2014";5699
" ";" ";"55-59 let"
" ";" ";" ";"2010";5068
" ";" ";" ";"2011";5280
" ";" ";" ";"2012";5394
" ";" ";" ";"2013";5404
" ";" ";" ";"2014";5434
" ";" ";"60-64 let"
" ";" ";" ";"2010";3453
" ";" ";" ";"2011";3939
" ";" ";" ";"2012";4125
" ";" ";" ";"2013";4380
" ";" ";" ";"2014";4679
" ";" ";"65-69 let"
" ";" ";" ";"2010";2833
" ";" ";" ";"2011";2627
" ";" ";" ";"2012";2685
" ";" ";" ";"2013";2785
" ";" ";" ";"2014";2905
" ";" ";"70-74 let"
" ";" ";" ";"2010";2633
" ";" ";" ";"2011";2678
" ";" ";" ";"2012";2646
" ";" ";" ";"2013";2644
" ";" ";" ";"2014";2579
" ";" ";"75-79 let"
" ";" ";" ";"2010";1953
" ";" ";" ";"2011";1942
" ";" ";" ";"2012";1997
" ";" ";" ";"2013";2032
" ";" ";" ";"2014";2086
" ";" ";"80-84 let"
" ";" ";" ";"2010";964
" ";" ";" ";"2011";1110
" ";" ";" ";"2012";1198
" ";" ";" ";"2013";1255
" ";" ";" ";"2014";1312
" ";" ";"85-89 let"
" ";" ";" ";"2010";291
" ";" ";" ";"2011";328
" ";" ";" ";"2012";334
" ";" ";" ";"2013";375
" ";" ";" ";"2014";438
" ";" ";"90-94 let"
" ";" ";" ";"2010";54
" ";" ";" ";"2011";59
" ";" ";" ";"2012";82
" ";" ";" ";"2013";95
" ";" ";" ";"2014";101
" ";" ";"95-99 let"
" ";" ";" ";"2010";13
" ";" ";" ";"2011";16
" ";" ";" ";"2012";14
" ";" ";" ";"2013";12
" ";" ";" ";"2014";8
