"STAROST";"SPOL";"LETO";Umrli
"51 let";"Ženske";"2010";45
"51 let";"Ženske";"2011";33
"51 let";"Ženske";"2012";27
"51 let";"Ženske";"2013";29
"51 let";"Ženske";"2014";27
"52 let";"Moški";"2010";111
"52 let";"Moški";"2011";73
"52 let";"Moški";"2012";92
"52 let";"Moški";"2013";86
"52 let";"Moški";"2014";84
"52 let";"Ženske";"2010";32
"52 let";"Ženske";"2011";46
"52 let";"Ženske";"2012";43
"52 let";"Ženske";"2013";30
"52 let";"Ženske";"2014";34
"53 let";"Moški";"2010";111
"53 let";"Moški";"2011";90
"53 let";"Moški";"2012";98
"53 let";"Moški";"2013";98
"53 let";"Moški";"2014";70
"53 let";"Ženske";"2010";44
"53 let";"Ženske";"2011";44
"53 let";"Ženske";"2012";43
"53 let";"Ženske";"2013";41
"53 let";"Ženske";"2014";31
"54 let";"Moški";"2010";100
"54 let";"Moški";"2011";99
"54 let";"Moški";"2012";120
"54 let";"Moški";"2013";83
"54 let";"Moški";"2014";83
"54 let";"Ženske";"2010";43
"54 let";"Ženske";"2011";43
"54 let";"Ženske";"2012";31
"54 let";"Ženske";"2013";38
"54 let";"Ženske";"2014";41
"55 let";"Moški";"2010";129
"55 let";"Moški";"2011";136
"55 let";"Moški";"2012";122
"55 let";"Moški";"2013";103
"55 let";"Moški";"2014";100
"55 let";"Ženske";"2010";50
"55 let";"Ženske";"2011";46
"55 let";"Ženske";"2012";55
"55 let";"Ženske";"2013";49
"55 let";"Ženske";"2014";37
"56 let";"Moški";"2010";144
"56 let";"Moški";"2011";121
"56 let";"Moški";"2012";123
"56 let";"Moški";"2013";111
"56 let";"Moški";"2014";98
"56 let";"Ženske";"2010";56
"56 let";"Ženske";"2011";47
"56 let";"Ženske";"2012";74
"56 let";"Ženske";"2013";53
"56 let";"Ženske";"2014";50
"57 let";"Moški";"2010";147
"57 let";"Moški";"2011";150
"57 let";"Moški";"2012";159
"57 let";"Moški";"2013";160
"57 let";"Moški";"2014";125
"57 let";"Ženske";"2010";71
"57 let";"Ženske";"2011";74
"57 let";"Ženske";"2012";69
"57 let";"Ženske";"2013";60
"57 let";"Ženske";"2014";62
"58 let";"Moški";"2010";174
"58 let";"Moški";"2011";155
"58 let";"Moški";"2012";147
"58 let";"Moški";"2013";160
"58 let";"Moški";"2014";136
"58 let";"Ženske";"2010";63
"58 let";"Ženske";"2011";56
"58 let";"Ženske";"2012";79
"58 let";"Ženske";"2013";67
"58 let";"Ženske";"2014";58
"59 let";"Moški";"2010";186
"59 let";"Moški";"2011";166
"59 let";"Moški";"2012";166
"59 let";"Moški";"2013";164
"59 let";"Moški";"2014";152
"59 let";"Ženske";"2010";61
"59 let";"Ženske";"2011";71
"59 let";"Ženske";"2012";70
"59 let";"Ženske";"2013";83
"59 let";"Ženske";"2014";57
"60 let";"Moški";"2010";182
"60 let";"Moški";"2011";160
"60 let";"Moški";"2012";190
"60 let";"Moški";"2013";198
"60 let";"Moški";"2014";170
"60 let";"Ženske";"2010";56
"60 let";"Ženske";"2011";79
"60 let";"Ženske";"2012";76
"60 let";"Ženske";"2013";69
"60 let";"Ženske";"2014";62
"61 let";"Moški";"2010";179
"61 let";"Moški";"2011";166
"61 let";"Moški";"2012";198
"61 let";"Moški";"2013";170
"61 let";"Moški";"2014";178
"61 let";"Ženske";"2010";79
"61 let";"Ženske";"2011";78
"61 let";"Ženske";"2012";95
"61 let";"Ženske";"2013";95
"61 let";"Ženske";"2014";70
"62 let";"Moški";"2010";178
"62 let";"Moški";"2011";157
"62 let";"Moški";"2012";166
"62 let";"Moški";"2013";185
"62 let";"Moški";"2014";181
"62 let";"Ženske";"2010";59
"62 let";"Ženske";"2011";63
"62 let";"Ženske";"2012";95
"62 let";"Ženske";"2013";86
